102300,46,47,40,45,48,40,45,41,51,30,48,32,44,50,40,42,51,61,39,48,57,50,62,38,44,12
102400,37,49,43,46,59,67,56,45,49,41,45,49,39,45,43,49,44,41,45,46,50,37,42,48,51,12
102500,4,8,7,4,2,3,4,3,5,4,7,2,1,7,1,4,1,3,2,1,1,5,4,6,2,12
102600,7,2,14,8,6,6,3,2,3,4,7,11,3,3,1,3,5,2,1,6,1,3,8,4,1,12
102700,8,7,6,10,6,5,5,5,3,3,4,4,6,5,3,5,3,3,7,11,6,8,7,4,6,12
102800,13,9,15,16,13,7,7,7,5,11,12,9,5,6,8,10,7,8,10,6,14,7,8,7,7,12
102900,19,12,11,10,9,20,18,14,15,18,15,10,17,13,10,17,15,15,15,11,16,15,18,16,15,12
103000,17,24,21,21,25,20,13,16,22,15,17,18,15,17,15,18,19,20,13,17,16,18,17,13,16,12
103100,21,27,28,28,29,20,25,10,24,30,31,20,19,20,19,22,25,27,27,40,28,28,35,24,23,12
103200,30,47,36,34,37,41,34,27,38,31,38,32,40,23,32,35,44,33,25,31,35,38,36,53,37,12
103300,48,72,48,46,55,49,56,48,59,45,47,59,54,58,49,50,46,55,42,49,48,47,51,59,64,12
103400,72,68,62,68,63,65,69,58,51,63,58,65,74,53,70,52,57,71,59,56,70,64,52,73,73,12
100200,33,48,33,57,46,49,41,47,37,48,41,39,42,42,42,40,47,54,56,47,31,36,36,51,36,13
100300,58,59,47,51,38,49,50,37,39,48,45,37,48,39,37,35,42,44,38,43,39,42,44,45,52,13
100400,42,42,43,53,49,38,50,47,42,41,45,48,38,46,54,45,35,40,43,48,40,53,52,46,49,13
100500,59,58,57,51,59,60,55,56,47,54,57,53,52,44,44,59,44,54,41,50,41,34,63,54,50,13
100600,35,62,43,37,51,52,46,44,55,50,48,46,45,35,43,63,48,43,62,46,44,65,49,61,39,13
100700,49,38,38,51,42,47,43,54,40,26,41,43,50,37,51,55,45,64,59,41,41,53,53,66,50,13
100800,32,47,37,53,49,40,43,50,44,55,57,38,35,33,39,55,44,61,41,40,47,43,43,53,62,13
100900,44,41,49,39,39,36,54,48,44,36,26,55,31,33,33,48,64,36,42,40,41,43,57,49,50,13
101000,42,37,60,30,46,49,47,57,50,42,45,45,42,54,41,58,42,48,66,49,57,39,45,47,47,13
101100,48,63,43,42,48,52,48,34,49,44,39,41,45,56,34,44,41,40,52,42,42,45,37,36,38,13
101200,41,39,39,43,52,64,52,47,45,60,34,46,59,46,49,47,53,60,52,58,39,52,57,36,51,13
101300,49,44,33,41,21,54,32,50,47,47,39,34,39,50,45,48,42,50,48,45,53,51,52,41,40,13
101400,49,41,37,46,52,57,48,52,55,54,52,42,38,35,43,41,50,44,48,45,38,49,46,54,43,13
101500,49,41,44,49,54,42,39,41,45,49,64,37,49,55,37,46,54,55,64,60,54,47,36,31,39,13
101600,61,43,45,58,57,40,46,44,40,48,34,40,54,42,36,49,30,51,48,50,57,35,39,56,31,13
101700,32,52,46,47,55,58,55,40,49,36,43,38,56,40,47,51,42,40,57,67,54,35,50,48,56,13
101800,49,49,54,52,51,62,56,50,56,49,60,35,57,59,45,46,35,44,43,47,32,73,51,45,55,13
101900,53,37,48,45,47,55,50,42,39,39,47,41,53,53,48,51,57,44,50,49,52,48,52,45,59,13
102000,56,47,44,51,41,55,46,31,35,53,48,44,48,38,58,47,42,46,45,48,62,61,53,55,49,13
102100,47,75,37,47,40,50,50,47,43,43,38,49,48,53,38,46,48,37,49,63,63,66,54,61,55,13
102200,38,49,63,32,41,40,68,41,50,43,54,40,47,53,45,36,47,47,64,54,42,38,44,55,57,13
102300,48,62,52,57,59,58,59,69,44,54,41,41,56,57,58,52,56,51,48,54,42,53,50,42,50,13
102400,36,47,58,35,56,48,49,48,49,43,48,49,40,44,45,49,46,45,60,54,59,39,60,45,66,13
102500,2,1,5,2,1,4,6,1,2,4,0,3,3,6,2,9,4,4,5,4,5,4,3,0,15,13
102600,4,3,14,24,9,14,3,3,3,2,0,3,7,3,6,7,6,4,10,8,7,5,4,8,12,13
102700,8,8,14,11,6,3,4,1,3,5,5,5,5,6,4,7,8,4,5,7,2,2,4,7,3,13
102800,6,9,9,8,5,5,12,7,6,9,9,12,4,11,5,9,9,5,9,7,6,11,6,6,9,13
102900,11,19,18,10,14,13,15,11,13,26,11,12,13,20,5,9,15,11,10,13,19,24,9,10,20,13
