Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,generation
20000,2043,412,2000,400,,,,,0.0046
20000,2043,412,2000,400,,,,,0.00465
20000,2044,412,2000,400,,,,,0.0047
20000,2044,412,2000,400,,,,,0.00475
20000,2045,412,2000,400,,,,,0.0048
20000,2045,412,2000,400,,,,,0.00485
20000,2046,412,2000,400,,,,,0.0049
20000,2046,412,2000,400,,,,,0.00495
20000,2047,413,2000,400,,,,,0.005
20000,2047,413,2000,400,,,,,0.00505
20000,2048,413,2000,400,,,,,0.0051
20000,2048,413,2000,400,,,,,0.00515
20000,2048,413,2000,400,,,,,0.0052
20000,2049,413,2000,400,,,,,0.00525
20000,2049,413,2000,400,,,,,0.0053
20000,2050,414,2000,400,,,,,0.00535
20000,2050,414,2000,400,,,,,0.0054
20000,2051,414,2000,400,,,,,0.00545
20000,2051,414,2000,400,,,,,0.0055
20000,2052,414,2000,400,,,,,0.00555
20000,2052,414,2000,400,,,,,0.0056
20000,2053,414,2000,400,,,,,0.00565
20000,2053,414,2000,400,,,,,0.0057
20000,2054,415,2000,400,,,,,0.00575
20000,2054,415,2000,400,,,,,0.0058
20000,2055,415,2000,400,,,,,0.00585
20000,2055,415,2000,400,,,,,0.0059
20000,2056,415,2000,400,,,,,0.00595
20000,2056,415,2000,400,,,,,0.006
20000,2057,415,2000,400,,,,,0.00605
20000,2057,415,2000,400,,,,,0.0061
20000,2057,416,2000,400,,,,,0.00615
20000,2058,416,2000,400,,,,,0.0062
20000,2058,416,2000,400,,,,,0.00625
20000,2059,416,2000,400,,,,,0.0063
20000,2059,416,2000,400,,,,,0.00635
20000,2060,416,2000,400,,,,,0.0064
20000,2060,416,2000,400,,,,,0.00645
20000,2061,416,2000,400,,,,,0.0065
20000,2061,417,2000,400,,,,,0.00655
20000,2062,417,2000,400,,,,,0.0066
20000,2062,417,2000,400,,,,,0.00665
20000,2063,417,2000,400,,,,,0.0067
20000,2063,417,2000,400,,,,,0.00675
20000,2064,417,2000,400,,,,,0.0068
20000,2064,417,2000,400,,,,,0.00685
20000,2065,418,2000,400,,,,,0.0069
20000,2065,418,2000,400,,,,,0.00695
20000,2066,418,2000,400,,,,,0.007
20000,2066,418,2000,400,,,,,0.00705
20000,2066,418,2000,400,,,,,0.0071
20000,2067,418,2000,400,,,,,0.00715
20000,2067,418,2000,400,,,,,0.0072
20000,2068,418,2000,400,,,,,0.00725
20000,2068,419,2000,400,,,,,0.0073
20000,2069,419,2000,400,,,,,0.00735
20000,2069,419,2000,400,,,,,0.0074
20000,2070,419,2000,400,,,,,0.00745
20000,2070,419,2000,400,,,,,0.0075
20000,2071,419,2000,400,,,,,0.00755
20000,2071,419,2000,400,,,,,0.0076
20000,2072,419,2000,400,,,,,0.00765
20000,2072,420,2000,400,,,,,0.0077
20000,2073,420,2000,400,,,,,0.00775
20000,2073,420,2000,400,,,,,0.0078
20000,2074,420,2000,400,,,,,0.00785
20000,2074,420,2000,400,,,,,0.0079
20000,2075,420,2000,400,,,,,0.00795
20000,2075,420,2000,400,,,,,0.008
20000,2076,421,2000,400,,,,,0.00805
20000,2076,421,2000,400,,,,,0.0081
20000,2076,421,2000,400,,,,,0.00815
20000,2077,421,2000,400,,,,,0.0082
20000,2077,421,2000,400,,,,,0.00825
20000,2078,421,2000,400,,,,,0.0083
20000,2078,421,2000,400,,,,,0.00835
20000,2079,421,2000,400,,,,,0.0084
20000,2079,422,2000,400,,,,,0.00845
20000,2080,422,2000,400,,,,,0.0085
20000,2080,422,2000,400,,,,,0.00855
20000,2081,422,2000,400,,,,,0.0086
20000,2081,422,2000,400,,,,,0.00865
20000,2082,422,2000,400,,,,,0.0087
20000,2082,422,2000,400,,,,,0.00875
20000,2083,422,2000,400,,,,,0.0088
20000,2083,423,2000,400,,,,,0.00885
20000,2084,423,2000,400,,,,,0.0089
20000,2084,423,2000,400,,,,,0.00895
20000,2085,423,2000,400,,,,,0.009
20000,2085,423,2000,400,,,,,0.00905
20000,2086,423,2000,400,,,,,0.0091
20000,2086,423,2000,400,,,,,0.00915
20000,2087,424,2000,400,,,,,0.0092
20000,2087,424,2000,400,,,,,0.00925
20000,2088,424,2000,400,,,,,0.0093
20000,2088,424,2000,400,,,,,0.00935
20000,2088,424,2000,400,,,,,0.0094
20000,2089,424,2000,400,,,,,0.00945
20000,2089,424,2000,400,,,,,0.0095
20000,2090,424,2000,400,,,,,0.00955
20000,2090,425,2000,400,,,,,0.0096
20000,2091,425,2000,400,,,,,0.00965
20000,2091,425,2000,400,,,,,0.0097
20000,2092,425,2000,400,,,,,0.00975
20000,2092,425,2000,400,,,,,0.0098
20000,2093,425,2000,400,,,,,0.00985
20000,2093,425,2000,400,,,,,0.0099
20000,2094,426,2000,400,,,,,0.00995
20000,2094,426,2000,400,,,,,0.01
20000,2095,426,2000,400,,,,,0.01005
20000,2095,426,2000,400,,,,,0.0101
20000,2096,426,2000,400,,,,,0.01015
20000,2096,426,2000,400,,,,,0.0102
20000,2097,426,2000,400,,,,,0.01025
20000,2097,426,2000,400,,,,,0.0103
20000,2098,427,2000,400,,,,,0.01035
20000,2098,427,2000,400,,,,,0.0104
20000,2099,427,2000,400,,,,,0.01045
